stage,U,achieved_stage_loading,flow_coefficient,T03,P03,de_haller,an2
1,346.42523159732156,0.3499999999999999,0.5,287.5797729756619,56780.00790620683,0.7099195927473189,119932911.92520732
2,346.42523159732156,0.3499999999999999,0.5,329.37445395132386,87306.12502602002,0.7099195927473189,83422548.85135405
3,346.42523159732156,0.3499999999999999,0.5,371.1691349269858,127473.07011613034,0.7099195927473189,61155426.03336491
4,346.42523159732156,0.3499999999999999,0.5,412.96381590264775,178709.1786848562,0.7099195927473189,46625034.27054561
5,346.42523159732156,0.3499999999999999,0.5,454.7584968783097,242467.35175413324,0.7099195927473189,36644721.200572886
6,346.42523159732156,0.3499999999999999,0.5,496.55317785397165,320222.899898524,0.7099195927473189,29508470.094776385
7,346.42523159732156,0.3499999999999999,0.5,538.3478588296335,413471.76172357716,0.7099195927473189,24237802.23625093
8,346.42523159732156,0.3499999999999999,0.5,580.1425398052954,523729.0049600561,0.7099195927473189,20239789.508282967
9,346.42523159732156,0.3499999999999999,0.5,621.9372207809573,652527.5464210722,0.7099195927473189,17138612.21248259
10,346.42523159732156,0.3499999999999999,0.5,663.7319017566192,801417.0451058983,0.7099195927473189,14686965.796849854
